Time,Pods,CPU_Current,CPU_Target,Min_Replicas,Current_Replicas,Max_Replicas
71s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,148%/60%,,memory:,67%/70%,,,1,,,,,15,,,,15,,,,15m
72s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,148%/60%,,memory:,67%/70%,,,1,,,,,15,,,,15,,,,15m
73s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,148%/60%,,memory:,67%/70%,,,1,,,,,15,,,,15,,,,15m
74s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,148%/60%,,memory:,67%/70%,,,1,,,,,15,,,,15,,,,15m
75s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,148%/60%,,memory:,67%/70%,,,1,,,,,15,,,,15,,,,15m
76s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,148%/60%,,memory:,67%/70%,,,1,,,,,15,,,,15,,,,15m
77s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,148%/60%,,memory:,67%/70%,,,1,,,,,15,,,,15,,,,15m
78s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,148%/60%,,memory:,67%/70%,,,1,,,,,15,,,,15,,,,15m
79s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,148%/60%,,memory:,67%/70%,,,1,,,,,15,,,,15,,,,15m
80s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,148%/60%,,memory:,67%/70%,,,1,,,,,15,,,,15,,,,15m
81s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,148%/60%,,memory:,67%/70%,,,1,,,,,15,,,,15,,,,15m
82s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,38%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
83s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,38%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
84s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,38%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
85s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,38%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
86s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,38%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
87s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,38%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
88s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,38%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
89s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,38%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
90s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,38%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
91s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,38%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
92s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,38%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
93s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,38%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
94s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,38%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
95s,15,ping-server-hpa,,,Deployment/ping-server,,,cpu:,23%/60%,,memory:,66%/70%,,,1,,,,,15,,,,15,,,,15m
